56,-17.425442,-24.934454,-24.684683,-17.635574,-19.81958,-35,-35,-35,-35,-35
56.5,-18.112585,-25.489412,-24.577717,-18.076691,-18.973148,-35,-35,-35,-35,-35
57,-18.661724,-25.907566,-24.436243,-18.794231,-18.655058,-35,-35,-35,-35,-35
57.5,-19.065123,-26.05979,-24.305315,-19.808973,-18.894737,-35,-35,-35,-35,-35
58,-19.429581,-25.899208,-24.131638,-20.925318,-19.598875,-35,-35,-35,-35,-35
58.5,-19.898422,-25.487385,-23.780071,-21.834352,-20.57762,-35,-35,-35,-35,-35
59,-20.511366,-24.942545,-23.086845,-22.278933,-21.585903,-35,-35,-35,-35,-35
59.5,-21.124344,-24.35231,-21.965693,-22.171356,-22.402861,-35,-35,-35,-35,-35
60,-21.521498,-23.690771,-20.492624,-21.643402,-22.908068,-35,-35,-35,-35,-35
60.5,-21.533474,-22.874393,-18.903309,-21.002068,-23.109522,-35,-35,-35,-35,-35
61,-21.165506,-21.821697,-17.521147,-20.560043,-23.09824,-35,-35,-35,-35,-35
61.5,-20.584204,-20.557964,-16.665854,-20.495415,-22.958363,-35,-35,-35,-35,-35
62,-19.979406,-19.2334,-16.53409,-20.814243,-22.769072,-35,-35,-35,-35,-35
62.5,-19.481384,-18.030884,-17.178453,-21.39892,-22.588341,-35,-35,-35,-35,-35
